id;count;ceation_dated;expiration_date;opiration_code
1;29457;2021-09-13T18:08:25;2021-09-13T22:16:19;ubiquitous THX Consultant
2;67020;2021-09-14T11:40:08;2021-09-14T09:42:57;system pink Buckinghamshire
3;35532;2021-09-14T04:10:33;2021-09-14T14:48:18;Intelligent Electronics up
4;99299;2021-09-14T08:30:25;2021-09-14T10:54:44;Shoes
5;1903;2021-09-14T02:44:23;2021-09-13T15:44:02;strategize
6;94595;2021-09-14T00:30:23;2021-09-13T22:44:57;Kyat extensible
7;11398;2021-09-14T07:44:14;2021-09-14T13:13:25;De-engineered Tasty Intuitive
8;61653;2021-09-14T13:42:57;2021-09-14T00:40:34;Adaptive
9;59681;2021-09-13T23:57:02;2021-09-13T15:07:19;Pants Cotton
10;61668;2021-09-14T05:53:46;2021-09-14T06:15:16;Greenland withdrawal Down-sized
